Simulation,Robot ID,Steps Taken,Goal Reached,Path Length,Time Taken,Collisions
"N=1, Trial=0",0,600,True,3169.04,21.25,0
"N=1, Trial=1",0,600,True,2535.32,16.95,0
"N=1, Trial=2",0,600,True,2275.51,15.1,0
"N=2, Trial=0",0,600,True,2412.01,16.1,0
"N=2, Trial=0",1,600,True,3176.15,21.2,0
"N=2, Trial=1",0,600,True,2286.12,15.2,0
"N=2, Trial=1",1,600,True,2382.07,15.8,0
"N=2, Trial=2",0,600,True,2240.88,14.9,0
"N=2, Trial=2",1,600,True,2311.28,15.35,0
"N=4, Trial=0",0,600,True,3076.43,20.55,0
"N=4, Trial=0",1,600,True,2958.3,19.75,0
"N=4, Trial=0",2,600,True,3042.78,20.45,0
"N=4, Trial=0",3,600,True,3069.36,20.5,0
"N=4, Trial=1",0,600,True,2247.74,14.95,0
"N=4, Trial=1",1,600,True,2301.39,15.3,0
"N=4, Trial=1",2,600,True,2294.72,15.25,0
"N=4, Trial=1",3,600,True,2224.75,14.75,0
"N=4, Trial=2",0,600,True,2258.44,15.0,0
"N=4, Trial=2",1,600,True,2325.08,15.45,0
"N=4, Trial=2",2,600,True,2354.38,15.65,0
"N=4, Trial=2",3,600,True,2351.65,15.6,0
"N=8, Trial=0",0,600,True,2249.03,14.95,0
"N=8, Trial=0",1,600,True,2280.33,15.15,0
"N=8, Trial=0",2,600,True,2309.23,15.35,0
"N=8, Trial=0",3,600,True,2336.7,15.5,0
"N=8, Trial=0",4,600,True,2337.75,15.55,0
"N=8, Trial=0",5,600,True,2293.09,15.25,0
"N=8, Trial=0",6,600,True,2261.24,15.0,0
"N=8, Trial=0",7,600,True,2299.14,15.25,0
"N=8, Trial=1",0,600,True,3116.93,20.8,0
"N=8, Trial=1",1,600,True,2401.92,15.95,0
"N=8, Trial=1",2,600,True,2412.73,16.05,0
"N=8, Trial=1",3,600,True,2365.19,15.7,0
"N=8, Trial=1",4,600,True,2631.81,17.6,0
"N=8, Trial=1",5,600,True,2439.03,16.2,0
"N=8, Trial=1",6,600,True,2410.81,16.0,0
"N=8, Trial=1",7,600,True,2357.9,15.65,0
"N=8, Trial=2",0,600,True,2550.63,17.05,0
"N=8, Trial=2",1,600,True,2310.62,15.35,0
"N=8, Trial=2",2,600,True,2333.89,15.5,0
"N=8, Trial=2",3,600,True,3070.88,20.5,0
"N=8, Trial=2",4,600,True,2301.62,15.3,0
"N=8, Trial=2",5,600,True,2342.33,15.55,0
"N=8, Trial=2",6,600,True,2322.52,15.45,0
"N=8, Trial=2",7,600,True,2350.44,15.6,0
"N=16, Trial=0",0,600,True,2290.08,15.2,0
"N=16, Trial=0",1,600,True,2287.37,15.2,0
"N=16, Trial=0",2,600,True,2276.38,15.1,0
"N=16, Trial=0",3,600,True,2313.56,15.35,0
"N=16, Trial=0",4,600,True,2263.51,15.05,0
"N=16, Trial=0",5,600,True,2319.45,15.4,0
"N=16, Trial=0",6,600,True,2250.56,14.95,0
"N=16, Trial=0",7,600,True,2235.46,14.85,0
"N=16, Trial=0",8,600,True,2273.22,15.1,0
"N=16, Trial=0",9,600,True,2303.1,15.3,0
"N=16, Trial=0",10,600,True,2244.65,14.9,0
"N=16, Trial=0",11,600,True,2325.48,15.45,0
"N=16, Trial=0",12,600,True,2245.18,14.9,0
"N=16, Trial=0",13,600,True,2240.86,14.9,0
"N=16, Trial=0",14,600,True,2306.96,15.3,0
"N=16, Trial=0",15,600,True,2343.43,15.55,0
"N=16, Trial=1",0,600,True,2319.48,15.4,0
"N=16, Trial=1",1,600,True,4111.17,27.65,0
"N=16, Trial=1",2,600,True,3100.03,20.8,0
"N=16, Trial=1",3,600,False,4387.5,30,0
"N=16, Trial=1",4,600,True,2317.7,15.4,0
"N=16, Trial=1",5,600,True,2851.46,19.05,0
"N=16, Trial=1",6,600,True,4216.67,28.25,0
"N=16, Trial=1",7,600,True,3618.99,24.25,0
"N=16, Trial=1",8,600,True,2743.47,18.35,0
"N=16, Trial=1",9,600,True,2847.37,19.1,0
"N=16, Trial=1",10,600,True,2992.58,20.1,0
"N=16, Trial=1",11,600,True,3741.53,25.1,0
"N=16, Trial=1",12,600,True,3125.02,20.9,0
"N=16, Trial=1",13,600,True,2995.91,20.0,0
"N=16, Trial=1",14,600,True,3343.36,22.45,0
"N=16, Trial=1",15,600,True,2918.43,19.8,0
"N=16, Trial=2",0,600,True,2230.45,14.8,0
"N=16, Trial=2",1,600,True,2252.19,14.95,0
"N=16, Trial=2",2,600,True,2351.92,15.6,0
"N=16, Trial=2",3,600,True,2260.85,15.0,0
"N=16, Trial=2",4,600,True,2325.43,15.45,0
"N=16, Trial=2",5,600,True,2316.59,15.4,0
"N=16, Trial=2",6,600,True,2264.47,15.05,0
"N=16, Trial=2",7,600,True,2312.3,15.35,0
"N=16, Trial=2",8,600,True,2283.77,15.15,0
"N=16, Trial=2",9,600,True,2217.2,14.7,0
"N=16, Trial=2",10,600,True,2353.1,15.65,0
"N=16, Trial=2",11,600,True,2284.57,15.15,0
"N=16, Trial=2",12,600,True,2334.92,15.5,0
"N=16, Trial=2",13,600,True,2299.39,15.25,0
"N=16, Trial=2",14,600,True,2234.97,14.85,0
"N=16, Trial=2",15,600,True,2327.4,15.45,0
