Simulation,Robot ID,Steps Taken,Goal Reached,Path Length,Time Taken,Collisions
"N=1, Trial=0",0,600,True,2254.67,14.95,0
"N=1, Trial=1",0,600,True,2323.54,15.45,0
"N=1, Trial=2",0,600,True,2468.41,16.5,0
"N=2, Trial=0",0,600,True,2308.08,15.35,0
"N=2, Trial=0",1,600,True,2305.83,15.3,0
"N=2, Trial=1",0,600,True,2264.25,15.05,0
"N=2, Trial=1",1,600,True,2284.75,15.15,0
"N=2, Trial=2",0,600,True,2239.61,14.85,0
"N=2, Trial=2",1,600,True,2340.87,15.55,0
"N=4, Trial=0",0,600,True,2432.01,16.25,0
"N=4, Trial=0",1,600,True,3015.08,20.15,0
"N=4, Trial=0",2,600,True,2394.52,15.9,0
"N=4, Trial=0",3,600,True,2903.07,19.6,0
"N=4, Trial=1",0,600,True,2255.48,15.0,0
"N=4, Trial=1",1,600,True,2306.09,15.3,0
"N=4, Trial=1",2,600,True,2334.74,15.5,0
"N=4, Trial=1",3,600,True,2247.07,14.9,0
"N=4, Trial=2",0,600,True,2355.87,15.65,0
"N=4, Trial=2",1,600,True,2327.44,15.45,0
"N=4, Trial=2",2,600,True,2447.56,16.35,0
"N=4, Trial=2",3,600,True,2536.14,16.95,0
"N=8, Trial=0",0,600,True,2540.02,17.0,0
"N=8, Trial=0",1,600,True,2329.85,15.5,0
"N=8, Trial=0",2,600,True,4021.54,27.05,0
"N=8, Trial=0",3,600,True,2541.32,17.0,0
"N=8, Trial=0",4,600,True,2278.27,15.15,0
"N=8, Trial=0",5,600,True,2330.74,15.5,0
"N=8, Trial=0",6,600,False,4357.5,30,0
"N=8, Trial=0",7,600,True,2632.87,17.6,0
"N=8, Trial=1",0,600,True,2351.79,15.65,0
"N=8, Trial=1",1,600,True,2423.44,16.2,0
"N=8, Trial=1",2,600,True,2372.85,15.85,0
"N=8, Trial=1",3,600,True,2806.74,18.75,0
"N=8, Trial=1",4,600,True,3075.84,20.55,0
"N=8, Trial=1",5,600,True,3016.64,20.55,0
"N=8, Trial=1",6,600,True,3732.45,25.4,0
"N=8, Trial=1",7,600,True,3403.79,22.85,0
"N=8, Trial=2",0,600,True,2344.65,15.6,0
"N=8, Trial=2",1,600,True,2400.75,15.95,0
"N=8, Trial=2",2,600,True,2269.8,15.1,0
"N=8, Trial=2",3,600,True,2889.23,19.3,0
"N=8, Trial=2",4,600,True,2341.71,15.55,0
"N=8, Trial=2",5,600,True,2303.62,15.3,0
"N=8, Trial=2",6,600,True,2327.13,15.45,0
"N=8, Trial=2",7,600,True,2341.91,15.55,0
