Simulation,Robot ID,Steps Taken,Goal Reached,Path Length,Time Taken,Collisions
"N=1, Trial=0",0,600,True,3013.69,20.25,0
"N=1, Trial=1",0,600,True,2364.37,15.7,0
"N=1, Trial=2",0,600,True,3916.3,26.35,0
"N=2, Trial=0",0,600,True,2811.95,18.9,0
"N=2, Trial=0",1,600,True,3322.83,22.3,0
"N=2, Trial=1",0,600,True,2404.79,16.05,0
"N=2, Trial=1",1,600,True,2494.06,16.65,0
"N=2, Trial=2",0,600,True,2336.4,15.5,0
"N=2, Trial=2",1,600,True,2308.98,15.35,0
"N=4, Trial=0",0,600,True,2363.43,15.7,0
"N=4, Trial=0",1,600,True,3074.21,20.65,0
"N=4, Trial=0",2,600,True,2670.18,17.85,0
"N=4, Trial=0",3,600,True,2599.74,17.35,1
"N=4, Trial=1",0,600,True,2278.75,15.15,0
"N=4, Trial=1",1,600,True,2219.72,14.75,0
"N=4, Trial=1",2,600,True,2297.21,15.25,0
"N=4, Trial=1",3,600,True,2286.86,15.2,0
"N=4, Trial=2",0,600,True,2316.41,15.4,0
"N=4, Trial=2",1,600,True,2334.81,15.5,0
"N=4, Trial=2",2,600,True,2312.5,15.35,0
"N=4, Trial=2",3,600,True,2331.22,15.5,0
"N=8, Trial=0",0,600,True,2258.73,15.0,0
"N=8, Trial=0",1,600,True,2288.58,15.2,0
"N=8, Trial=0",2,600,True,2347.05,15.6,0
"N=8, Trial=0",3,600,True,2318.99,15.4,0
"N=8, Trial=0",4,600,True,2305.21,15.3,0
"N=8, Trial=0",5,600,True,2262.44,15.0,0
"N=8, Trial=0",6,600,True,2266.64,15.05,0
"N=8, Trial=0",7,600,True,2335.48,15.5,0
"N=8, Trial=1",0,600,True,2955.57,19.85,0
"N=8, Trial=1",1,600,True,3118.13,21.05,0
"N=8, Trial=1",2,600,True,2427.87,16.25,0
"N=8, Trial=1",3,600,True,4082.4,27.35,0
"N=8, Trial=1",4,600,True,2974.33,19.85,0
"N=8, Trial=1",5,600,True,2985.01,20.05,0
"N=8, Trial=1",6,600,True,2312.58,15.35,0
"N=8, Trial=1",7,600,True,2895.74,19.35,0
"N=8, Trial=2",0,600,True,3447.16,23.1,0
"N=8, Trial=2",1,600,True,2740.43,18.4,0
"N=8, Trial=2",2,600,True,2358.45,15.75,0
"N=8, Trial=2",3,600,True,2328.61,15.45,0
"N=8, Trial=2",4,600,True,2783.72,18.7,0
"N=8, Trial=2",5,600,False,4447.5,30,0
"N=8, Trial=2",6,600,True,2305.45,15.3,0
"N=8, Trial=2",7,600,True,2272.85,15.1,0
"N=16, Trial=0",0,600,True,3101.32,20.8,0
"N=16, Trial=0",1,600,True,2433.33,16.25,0
"N=16, Trial=0",2,600,True,2589.01,17.3,0
"N=16, Trial=0",3,600,True,2718.32,18.15,0
"N=16, Trial=0",4,600,True,3016.83,20.15,0
"N=16, Trial=0",5,600,True,2741.43,18.3,0
"N=16, Trial=0",6,600,True,2656.52,17.75,0
"N=16, Trial=0",7,600,True,2772.78,18.55,0
"N=16, Trial=0",8,600,True,3821.6,25.65,0
"N=16, Trial=0",9,600,True,2382.74,15.95,0
"N=16, Trial=0",10,600,True,3046.51,20.35,0
"N=16, Trial=0",11,600,True,2375.11,15.9,0
"N=16, Trial=0",12,600,True,2852.69,19.05,0
"N=16, Trial=0",13,600,True,2548.4,17.05,0
"N=16, Trial=0",14,600,True,3204.92,21.4,0
"N=16, Trial=0",15,600,True,2937.25,19.6,0
"N=16, Trial=1",0,600,True,2280.84,15.15,0
"N=16, Trial=1",1,600,True,2321.59,15.4,0
"N=16, Trial=1",2,600,True,2363.9,15.8,0
"N=16, Trial=1",3,600,True,3539.5,23.75,0
"N=16, Trial=1",4,600,True,2350.5,15.6,0
"N=16, Trial=1",5,600,True,2346.54,15.6,0
"N=16, Trial=1",6,600,True,2307.6,15.35,0
"N=16, Trial=1",7,600,True,2346.12,15.6,0
"N=16, Trial=1",8,600,True,3110.9,20.8,0
"N=16, Trial=1",9,600,True,3196.03,21.55,0
"N=16, Trial=1",10,600,True,2276.58,15.1,0
"N=16, Trial=1",11,600,True,3410.12,22.9,0
"N=16, Trial=1",12,600,True,2320.12,15.4,0
"N=16, Trial=1",13,600,True,2311.39,15.35,0
"N=16, Trial=1",14,600,True,2344.14,15.55,0
"N=16, Trial=1",15,600,True,2922.96,19.55,0
"N=16, Trial=2",0,600,True,2351.47,15.6,0
"N=16, Trial=2",1,600,True,2251.19,14.95,0
"N=16, Trial=2",2,600,True,2277.02,15.1,0
"N=16, Trial=2",3,600,True,2359.87,15.65,0
"N=16, Trial=2",4,600,True,2290.33,15.2,0
"N=16, Trial=2",5,600,True,2343.19,15.55,0
"N=16, Trial=2",6,600,True,2284.17,15.15,0
"N=16, Trial=2",7,600,True,2336.94,15.5,0
"N=16, Trial=2",8,600,True,2269.28,15.05,0
"N=16, Trial=2",9,600,True,2337.48,15.5,0
"N=16, Trial=2",10,600,True,2292.1,15.2,0
"N=16, Trial=2",11,600,True,2284.5,15.15,0
"N=16, Trial=2",12,600,True,2307.23,15.3,0
"N=16, Trial=2",13,600,True,2328.07,15.45,0
"N=16, Trial=2",14,600,True,2344.26,15.55,0
"N=16, Trial=2",15,600,True,2349.16,15.6,0
